Org_Identifier,Org_FormalName,Project_Identifier,Project_Name,Project_QAPPApproved,Project_QAPPApprovalAgency,ProjectAttachment_FileName,ProjectAttachment_FileType,Location_Identifier,Location_Name,Location_Type,Location_Description,Location_State,Location_CountryName,Location_CountyName,Location_CountryCode,Location_StatePostalCode,Location_CountyCode,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLandIndicator,Location_TribalLand,Location_Latitude,Location_Longitude,Location_HorzCoordReferenceSystemDatum,Location_LatitudeStandardized,Location_LongitudeStandardized,Location_HorzCoordStandardizedDatum,AlternateLocation_IdentifierCount,Activity_ActivityIdentifier,Activity_ActivityIdentifierUserSupplied,Activity_TypeCode,Activity_Media,Activity_MediaSubdivision,Activity_BottomDepthSamplingComponent,ActivityBiological_AssemblageSampled,ActivityBiological_ToxicityTestType,Activity_ConductingOrganization,Activity_Comment,ActivityLocation_Latitude,ActivityLocation_Longitude,ActivityLocation_HorzCoordReferenceSystemDatum,ActivityLocation_SourceMapScale,ActivityLocation_LatitudeStandardized,ActivityLocation_LongitudeStandardized,ActivityLocation_HorzCoordStandardizedDatum,ActivityLocation_HorzAccuracyMeasure,ActivityLocation_HorzAccuracyMeasureUnit,ActivityLocation_HorizontalAccuracyHorzCollectionMethod,ActivityLocation_Description,Activity_StartDate,Activity_StartTime,Activity_StartTimeZone,Activity_EndDate,Activity_EndTime,Activity_EndTimeZone,Activity_DepthHeightMeasure,Activity_DepthHeightMeasureUnit,Activity_BottomDepthAltitudeReferencePoint,Activity_ActivityRelativeDepth,Activity_TopDepthMeasure,Activity_TopDepthMeasureUnit,Activity_BottomDepthMeasure,Activity_BottomDepthMeasureUnit,SampleCollectionMethod_Identifier,SampleCollectionMethod_IdentifierContext,SampleCollectionMethod_Name,SampleCollectionMethod_QualifierTypeName,SampleCollectionMethod_Description,SampleCollectionMethod_EquipmentName,SampleCollectionMethod_EquipmentComment,SamplePrepMethod_Identifier,SamplePrepMethod_IdentifierContext,SamplePrepMethod_Name,SamplePrepMethod_QualifierType,SamplePrepMethod_Description,SamplePrepMethod_ContainerLabel,SamplePrepMethod_ContainerType,SamplePrepMethod_ContainerColor,SamplePrepMethod_ChemicalPreservativeUsed,SamplePrepMethod_ThermalPreservativeUsed,SamplePrepMethod_TransportStorageDescription,Activity_HydrologicCondition,Activity_HydrologicEvent,ActivityAttachment_FileName,ActivityAttachment_FileType,ActivityAttachment_FileDownload,Result_DataLoggerLine,Result_ResultDetectionCondition,Result_Characteristic,Result_CharacteristicUserSupplied,Result_CASNumber,Result_MethodSpeciation,Result_SampleFraction,ResultBiological_Intent,ResultBiological_IndividualIdentifier,ResultBiological_Taxon,ResultBiological_TaxonUserSupplied,ResultBiological_TaxonUserSuppliedReference,ResultBiological_UnidentifiedSpeciesIdentifier,ResultBiological_SampleTissueAnatomy,ResultBiological_GroupSummaryCount,GroupSummaryWeight_Measure,GroupSummaryWeight_MeasureUnit,ResultDepthHeight_Measure,ResultDepthHeight_MeasureUnit,ResultDepthHeight_AltitudeReferencePoint,ResultDepthHeight_SamplingPointName,ResultDepthHeight_SamplingPointType,ResultDepthHeight_SamplingPointPlaceInSeries,ResultDepthHeight_SamplingPointComment,ResultDepthHeight_RecordIdentifierUserSupplied,Result_MeasureIdentifier,Result_Measure,Result_MeasureUnit,Result_MeasureQualifierCode,Result_MeasureStatusIdentifier,Result_StatisticalBase,Result_StatisticalNValue,Result_MeasureType,Result_WeightBasis,Result_TimeBasis,Result_MeasureTemperatureBasis,Result_MeasureParticleSizeBasis,DataQuality_PrecisionValue,DataQuality_BiasValue,DataQuality_ConfidenceIntervalValue,DataQuality_UpperConfidenceLimitValue,DataQuality_LowerConfidenceLimitValue,DataQuality_ResultComment,DetectionLimit_TypeA,DetectionLimit_MeasureA,DetectionLimit_MeasureUnitA,DetectionLimit_CommentA,DetectionLimit_TypeB,DetectionLimit_MeasureB,DetectionLimit_MeasureUnitB,DetectionLimit_CommentB,LabInfo_LabSampleSplitRatio,LabInfo_LabAccreditationIndicator,LabInfo_LabAccreditationAuthority,LabInfo_TaxonAccreditationIndicator,LabInfo_TaxonAccreditationAuthority,ResultAnalyticalMethod_Identifier,ResultAnalyticalMethod_IdentifierContext,ResultAnalyticalMethod_Name,ResultAnalyticalMethod_QualifierType,ResultAnalyticalMethod_Description,Result_ComparableMethodIdentifier,Result_ComparableMethodIdentifierContext,Result_ComparableMethodModification,LabInfo_Name,LabInfo_AnalysisStartDate,LabInfo_AnalysisStartTime,LabInfo_AnalysisStartTimeZone,LabInfo_AnalysisEndDate,LabInfo_AnalysisEndTime,LabInfo_AnalysisEndTimeZone,LabInfo_LaboratoryComment,LabSamplePrepMethod_Identifier,LabSamplePrepMethod_IdentifierContext,LabSamplePrepMethod_Name,LabSamplePrepMethod_QualifierType,LabSamplePrepMethod_Description,LabSamplePrepMethod_StartDate,LabSamplePrepMethod_StartTime,LabSamplePrepMethod_StartTimeZone,LabSamplePrepMethod_EndDate,LabSamplePrepMethod_EndTime,LabSamplePrepMethod_EndTimeZone,LabSamplePrepMethod_DilutionFactor,ResultAttachment_FileName,ResultAttachment_FileType,ResultAttachment_FileDownload,ProviderName,Result_CharacteristicComparable,Result_CharacteristicGroup,Org_Type,LastChangeDate,USGSpcode,USGSSampleAquifer
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-340426087125701,Well K-4 WINSTON Cnty BOARD OF EDUCATION,Well,,Alabama,United States of America,Winston County,US,AL,,03160110,031601100306,,,34.073993069209,-87.2158436236361,NAD83,34.073993069209,-87.2158436236361,NAD83,,8704dd5f-6db9-4e7c-816a-523eaa1606ea,,"Sample - Routine, regular",Water,Groundwater,,,,,,,,,,,,,,,,,1966-05-23,,CST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Routine sample,,,,,,Nitrate,"Nitrate as nitrogen, water, unfiltered",14797-55-8,as N,Unfiltered,,,,,,,,,,,,,,,,,,,54cc72b7-b29d-4130-950f-5a9169803313,0.429,mg/L,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,00620,Pottsville Formation
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""450109000""]",,,,,,USGS-322229086445801,Well NAWQA LUSCR1-15 Autauga County Al,Well,,Alabama,United States of America,Autauga County,US,AL,,03150201,031502010706,,,32.3739444444444,-86.7181111111111,NAD83,32.3739444444444,-86.7181111111111,NAD83,,f79a15c2-3ad6-41d6-b4ff-f44cc16cfa78,,"Sample - Routine, regular",Water,Groundwater,,,,U.S. Geological Survey-Water Resources Discipline,A-2040101 doc/agf | L-2040101 recd 7-20-01,,,,,,,,,,,,2001-07-18,15:30:00,CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Nitrite,"Nitrite as nitrogen, water, filtered",14797-65-0,as N,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,31d1398a-45d0-4e4e-b0a8-fc70b1ca5d6c,0.009,mg/L,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,CL041,USDOI/USGS,"Nutrients, wf, colorimetric",,"DESCRIPTION: Nutrients, water filtered, colorimetric; CITATION(S): Fishman, M.J., ed., 1993, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of inorganic and organic constituents in water and fluvial sediments: U.S. Geological Survey Open-File Report 93-125, p. 143-148. | USGS | I-2540-90",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,00613,Holocene Alluvium
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-344037086355301,Well   Q-205 LANDFILL TEST WELL-CITY OF HUNTSVILLE,Well,,Alabama,United States of America,Madison County,US,AL,,06030002,060300020503,,,34.677035622518,-86.5980484467083,NAD83,34.677035622518,-86.5980484467083,NAD83,,2f62fc87-4682-44a8-a218-ba43f8d11a31,,"Sample - Routine, regular",Water,Groundwater,,,,,,,,,,,,,,,,,1974-07-18,08:50:00,CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Routine sample,,,,,,Inorganic nitrogen (nitrate and nitrite),"Nitrate plus nitrite as nitrogen, water, unfiltered",,as N,Unfiltered,,,,,,,,,,,,,,,,,,,2d7c4faa-b0dd-4810-93a0-7aec7e118518,1.20,mg/L,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,00630,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-321705086475901,Well G-1 MRS. MARY T. WEBSTER Lowndes Cnty AL,Well,,Alabama,United States of America,Lowndes County,US,AL,,03150201,031502011201,,,32.2848614160085,-86.7997045508966,NAD83,32.2848614160085,-86.7997045508966,NAD83,,a2589fb8-064a-4599-aeed-fb1fd1eeccc2,,"Sample - Routine, regular",Water,Groundwater,,,,,,,,,,,,,,,,,1955-12-12,,CST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Routine sample,,,,,,Nitrate,"Nitrate as nitrate, water, unfiltered",14797-55-8,as NO3,Unfiltered,,,,,,,,,,,,,,,,,,,90ded0a1-d458-4f5b-b3d4-ba8928f10230,0.40,mg/L,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,71850,Eutaw Formation
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-343855087382801,Well  (V-119) U.S. GEOL. SURVEY Colbert Cnty AL,Well,,Alabama,United States of America,Colbert County,US,AL,,06030005,060300050703,,,34.6487023254339,-87.641140095327,NAD83,34.6487023254339,-87.641140095327,NAD83,,94cb15bc-c50e-4271-8820-8fb06b530b98,,"Sample - Routine, regular",Water,Groundwater,,,,,,,,,,,,,,,,,1958-10-01,,CST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Routine sample,,,,,,Nitrate,"Nitrate as nitrate, water, unfiltered",14797-55-8,as NO3,Unfiltered,,,,,,,,,,,,,,,,,,,3f0ab792-475c-4f8c-b966-af54ac089f01,0.20,mg/L,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,71850,Tuscumbia Limestone
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-344617086261101,Well   L- 90 C.C. CROWSON Madison Cnty AL,Well,,Alabama,United States of America,Madison County,US,AL,,06030002,060300020403,,,34.7714786398194,-86.4363773859094,NAD83,34.7714786398194,-86.4363773859094,NAD83,,bee6c21a-b28b-467f-b991-24abae65633a,,"Sample - Routine, regular",Water,Groundwater,,,,,,,,,,,,,,,,,1971-06-14,11:25:00,CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Routine sample,,,,,,Nitrate,"Nitrate as nitrate, water, filtered",14797-55-8,as NO3,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,e504c9d7-5b9c-4b29-bde0-0f275f49fe45,0.000,mg/L,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ALGCY,USDOI/USGS,Legacy computation by algorithm,,"DESCRIPTION: Presumptive computation by NWIS algorithm and legacy storage of that computation prior to an April 1983 decision to produce computations only on output; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,71851,
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-332441087271301,Well (TW17 GULF STATES WELL 1) Tuscaloosa Cnty,Well,,Alabama,United States of America,Tuscaloosa County,US,AL,,03160112,031601120501,,,33.4115033136819,-87.4536142943565,NAD83,33.4115033136819,-87.4536142943565,NAD83,,8d5d77f1-8fc1-4488-83df-90c710953e1a,,"Sample - Routine, regular",Water,Groundwater,,,,"USGS-Atlanta Central Laboratory, GA",,,,,,,,,,,,,1982-06-03,13:00:00,CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Routine sample,,,,,Not Detected,Orthophosphate,"Orthophosphate as phosphorus, water, unfiltered",14265-44-2,as P,Unfiltered,,,,,,,,,,,,,,,,,,,d342525b-6992-4f27-bff4-6075616b930a,,,,Accepted,,,Actual,,,,,,,,,,,Censoring Level,0.01,mg/L,Quantitation limit value associated with a < or > legacy remark code in USGS source data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,70507,Pottsville Formation
USGS,U.S. Geological Survey,"[""USGS""]",,,,,,USGS-310534088134201,Well  D 3  310534088134201 Mobile County Al,Well,,Alabama,United States of America,Mobile County,US,AL,,03170008,031700080205,,,31.09295588339,-88.2283400004522,NAD83,31.09295588339,-88.2283400004522,NAD83,,6296f4db-3c81-44a4-9cc7-688d0a021261,,"Sample - Routine, regular",Water,Groundwater,,,,,,,,,,,,,,,,,1981-06-09,17:00:00,CDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not determined,Routine sample,,,,,,Nitrate,"Nitrate as nitrate, water, filtered",14797-55-8,as NO3,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,88ad3cc2-9286-4065-8634-55bb7cf9146c,0.040,mg/L,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ALGCY,USDOI/USGS,Legacy computation by algorithm,,"DESCRIPTION: Presumptive computation by NWIS algorithm and legacy storage of that computation prior to an April 1983 decision to produce computations only on output; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,71851,Miocene Series
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""32GUMGW00""]",,,,,,USGS-332417087581901,Well NAWQA FLH 14 Pickens County Al,Well,,Alabama,United States of America,Pickens County,US,AL,,03160106,031601060401,,,33.4048333333333,-87.9719722222222,NAD83,33.4048333333333,-87.9719722222222,NAD83,,24bf2af3-7e92-4b81-8ebd-d63b997ddd7b,,"Sample - Routine, regular",Water,Groundwater,,,,U.S. Geological Survey-Water Resources Discipline,L-2060280 Numerical result and or metadata revised; see NWQL Technical Memorandum 2022.01,,,,,,,,,,,,2019-07-24,15:00:00,CDT,,,,,,,,,,,,8040,USDOI/USGS,Spigot,,Point / Grab: Spigot,Other,,,,,,,,,,,,,Not applicable,Not applicable,,,,,Not Detected,Orthophosphate,"Orthophosphate as orthophosphate, water, filtered",14265-44-2,as PO4,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,3f0b832a-38fb-4630-870e-7ad49aa21d11,,,,Accepted,,,Actual,,,,,,,,,,,Censoring Level,0.012,mg/L,Quantitation limit value associated with a < or > legacy remark code in USGS source data,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,00660,
USGS,U.S. Geological Survey,"[""NAWQA - National Water-Quality Assessment"",""32GUMGW00""]",,,,,,USGS-324340087350501,Well NAWQA FLH 21 Hale County Al,Well,,Alabama,United States of America,Hale County,US,AL,,03160113,031601130505,,,32.7279166666667,-87.5847222222222,NAD83,32.7279166666667,-87.5847222222222,NAD83,,e8732650-7a5e-4f7d-b4d0-d822433546dc,,"Sample - Routine, regular",Water,Groundwater,,,,U.S. Geological Survey-Water Resources Discipline,L-2350201 Numerical result and or metadata revised; see NWQL Technical Memorandum 2022.01,,,,,,,,,,,,2019-08-22,11:00:00,CDT,,,,,,,,,,,,8040,USDOI/USGS,Spigot,,Point / Grab: Spigot,Other,,,,,,,,,,,,,Not applicable,Not applicable,,,,,,Ammonia and ammonium,"Total ammonia (NH4+ and NH3) as ammonium, water, filtered",,as NH4,Filtered field and/or lab,,,,,,,,,,,,,,,,,,,0a7e8b0a-c504-45b7-8ee6-84e30f2cd445,0.229,mg/L,,Accepted,,,Actual,,,,,,,,,,,,,,,,,,,,,,,,ALGOR,USDOI/USGS,Computation by NWIS algorithm,,"DESCRIPTION: Computation by NWIS algorithm; CITATION(S): U.S. Geological Survey, [revised annually], Option 7 -- Display algorithm in reverse polish notation (RPN), in User's Manual for the National Water Information System of the U.S. Geological Survey--Water-Quality System: U.S. Geological Survey, accessed on June 26, 2012, at URL http://nwis.usgs.gov/currentdocs/index.html",,,,,,,,,,,,,,,,,,,,,,,,,,,USGS,,Nutrient,Federal/US Government,2025-04-21,71846,
